Names,A (baby) name database from erh@xs4all.nl
DORE,A Gift
OAFE,Your Descent Matters (Af)
NANCY,From the name ANNA
JEROLD,From the name GERALD
MARIETTA,From the name MARY
AYA,Bird
BISHOP,A Bishop (Br)
SEBASTIAN,Venerable
KEOLA,the Life (HI)
MORNA,Affection, Beloved
TAVITA,From the name DAVID
TEX,Nickname for a Texan
PHILENA,Lover of Mankind
MALAYA,Free
SUSANNAH,From the name SUSAN
SCARLETT,Red
DALILA,Water Bearer
HABEN,Pride (Af)
RAPHAELA,Fem. form of RAPHAEL
MATSU,Pine (Jp)
MARCELL,Warlike
AIZZA,Life
MILES,Soldier
ERMIN,Universal, Whole
DEANDRA,From the name DIANA
ERI,My Guardian
HAMPTON,Little Town
BECK,The Brook
VALIANT,Brave
GRETEL,From the name MARGARET
MIRRA,From the name MIRANDA
JEFFERSON,Son of Jeffrey
FRYE,Seed, Offspring
WINTHROP,Friendly
WINTA,Desire (Af)
MAUREEN,Dark
OSSIAN,Fawn
BIRCH,Birch Tree
RYLEE,From RILEY
GALVIN,Sparrow
ANNAMIKA,Grace, New Moon
MARIEL,Pet form of MARY
TOSHI,Mirror Image (Jp)
CHEZARINA,From the name Cesar
THALIA,Joyful (Gk)
LES,From the name LESTER
STANISLAW,From the name STANISLAV
CAMLIN,Crooked line
KIRABO,Gift from God (Af)
JODIE,Praised
PASI,King
ELVIN,Friend of Elves
MICHELE,From the name MICHAEL (Fr)
PIERCE,Form of PETER
MAXIM,From the name MAXIMILIAN
BRINLY,Virtuous, Princess
SHAKIA,Season's Beginning
MARIATU,Pure (Af)
BILEN,Pupil of an Eye
HAMILTON,From the Beautiful Mountain
ODELL,Otter
WINDA,Chasing for Food (Swh)
FAUSTINE,Lucky
ALBAN,White
LUCUS,Light
CHIP,Chipping Sparrow
MONTANA,Mountain
EOLANDE,Land Where Dawn Appears
ISHA,Woman (Hb)
EITAN,Form of ETHAN
ROSALYN,From the name ROSALIND
CONSUELA,Consolation
OSBORNE,Soldier of God
ARNE,Eagle
SABRINA,From the name SABRA
NIMEESHA,Princess
AMBER,Amber Colored / Red
JACQUI,From JACQUELINE or JACLYN
IVY,A Vine
MATHILDA,Might, Power
JESSE,From the name JESSICA
ROBERT,Bright Fame
VINNIE,From the name VINCENT
MATT,From the name MATTHEW
WOLFGANG,Path of a Wolf
CLEAVANT,A Steep Bank
ARMAND,Of the Army
ARIANA,Like A Beautiful Melody
ZEHEB,Gold (Tk)
MODESTY,Without Conceit
FAIRFAX,Fair Haired
CHRISTIANA,Christian, Annointed
LEVON,Spice
JIANNA,God's Grace
ZAZU,From the name ZAZA
CATRIN,Pure (Wl)
ANNE,From the name ANNA
ALDONA,Old (Po)
PALEY,From the name PAUL
IVAN,From the name JOHN
DELILA,Hair or Poor
IDRA,A Flag
GALE,A Stranger
GRACIE,From the name GRACE
ZINNA,Created
DARBY,Free Man
OLYMPIA,Mountain of the Gods
LESA,Consecreted to God
JOANNA,From the name JOANNE
DILLAN,Form of DILLON
GARRY,From the name GARRET
NARCISSE,Daffodil (Fr)
ALEXIA,Defender of Mankind
LUPITA,From the name GUADALUPE
MARCELLO,Brave
BERNIE,From the name BERNARD
NAN,From the name ANNA
XERXES,King
SUZY,From the name SUSAN
BRAIMA,Father of Multitudes (Af)
TASMINE,Twin
ADDISON,Son of Adam
LAJUAN,From the name JOHN
MOHAMMED,From the name MUHAMMAD
TYSON,Son of TY
ATALO,Youthful (Gk)
TARYN,Fem. form of TYRONE
DEITER,Army of the People
JARIATH,Tributary Lord
DEVORAH,From the name DEBORAH (Hb)
ARGUS,Vigilant, Watchful (Gk)
SIVNEY,Well-going
MAGDALENE,From the name MADELINE
MARINEL,Of the Sea
DARRIUS,He who Upholds the Good
GARY,Spear Carrier
MILT,From the name MILTON
RIDER,Farmer
HAJARI,Flight (Af)
COLLEEN,Girl
GERALD,Spear Warrior
ZAIDA,Growing
GITA,Good
DONNY,From the name DONALD OR DONNEL
CASPAR,From the name CASPER
CAMILLA,From the name CAMILLE
JOREN,Farmer
JAY,A Bird in the Crow Family
EFFIE,Melodious Tlak
BABA,Born on Thursday
CAMERON,Bent Nose
KAITLYN,Pure
MAREK,Warlike (Po)
AUGUSTUS,Revered, Exalted
CALANTHA,Like a Lovely Blossom
LYSANDER,He who will Free Us (Gk)
KATIE,From the name (K)CATHERINE
DENISE,Feminine form of DENNIS
RYDER,Horseman
MARCIA,Brave
SANDRO,From ALEXANDER (It)
